epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,11353.9,0.68816,0.99613,1.17429,0.77207,0.70773,0.75008,0.62164,0.59035,0.63873,1.15196,0.005842,0.005842,0.005842
128,12391.3,0.68667,0.99264,1.17415,0.76958,0.71354,0.75027,0.62193,0.58991,0.63899,1.15187,0.005809,0.005809,0.005809
129,13429.1,0.6865,0.98985,1.17249,0.77323,0.70808,0.74987,0.62139,0.59016,0.63924,1.1518,0.005776,0.005776,0.005776
130,14466.8,0.68819,0.99739,1.17403,0.77063,0.71057,0.75025,0.62148,0.58969,0.63943,1.15128,0.005743,0.005743,0.005743
131,15504.7,0.68857,0.99269,1.17536,0.78227,0.70425,0.75082,0.62218,0.58977,0.6391,1.15138,0.00571,0.00571,0.00571
132,16541.1,0.68625,0.98834,1.17353,0.77972,0.70439,0.75072,0.62233,0.58982,0.64002,1.15129,0.005677,0.005677,0.005677
133,989.047,0.67892,0.96553,1.16811,0.78401,0.70196,0.75142,0.62311,0.58882,0.63926,1.15042,0.005644,0.005644,0.005644
134,2024.78,0.68525,0.98804,1.17264,0.78019,0.70678,0.75248,0.62375,0.58881,0.63858,1.15052,0.005611,0.005611,0.005611
135,3061.41,0.68446,0.99045,1.17108,0.77841,0.70726,0.75273,0.62423,0.58882,0.63762,1.15094,0.005578,0.005578,0.005578
136,4097.81,0.68586,0.98812,1.17356,0.77995,0.70666,0.75256,0.62417,0.58862,0.63736,1.15109,0.005545,0.005545,0.005545
137,5133.8,0.68498,0.98668,1.17344,0.78036,0.70615,0.75318,0.62446,0.58889,0.63693,1.15142,0.005512,0.005512,0.005512
138,6170.92,0.68728,0.98912,1.17362,0.78544,0.70231,0.7532,0.62432,0.58859,0.63749,1.15118,0.005479,0.005479,0.005479
139,7207.42,0.68551,0.98778,1.17393,0.78375,0.70564,0.75327,0.62462,0.58826,0.63688,1.15082,0.005446,0.005446,0.005446
140,8243.33,0.68523,0.98574,1.17328,0.78556,0.70058,0.75367,0.62473,0.58821,0.6369,1.15079,0.005413,0.005413,0.005413
141,9259.33,0.68515,0.98343,1.17286,0.77719,0.70464,0.75438,0.62533,0.58745,0.63713,1.14992,0.00538,0.00538,0.00538
142,10297.4,0.68554,0.98907,1.17261,0.77511,0.70787,0.75405,0.62543,0.58732,0.63643,1.14991,0.005347,0.005347,0.005347
143,11335.1,0.68152,0.9806,1.17149,0.7714,0.71635,0.75462,0.6262,0.58737,0.63606,1.15017,0.005314,0.005314,0.005314
144,984.853,0.67623,0.95378,1.16652,0.77294,0.71467,0.75474,0.62671,0.5871,0.63398,1.14972,0.005281,0.005281,0.005281
145,2002.8,0.68123,0.98093,1.17052,0.78117,0.71072,0.7557,0.62771,0.58707,0.63373,1.14954,0.005248,0.005248,0.005248
146,3038.79,0.68006,0.98434,1.169,0.78048,0.71004,0.75576,0.62809,0.5869,0.63397,1.14929,0.005215,0.005215,0.005215
147,4064.52,0.682,0.98607,1.17119,0.7793,0.71115,0.75588,0.62838,0.58706,0.63335,1.14931,0.005182,0.005182,0.005182
148,5088.85,0.68323,0.98126,1.17229,0.78179,0.71237,0.75627,0.62841,0.58727,0.63323,1.14962,0.005149,0.005149,0.005149
149,6125.49,0.68159,0.98202,1.17058,0.77952,0.71098,0.75693,0.62914,0.58729,0.63242,1.14972,0.005116,0.005116,0.005116
150,7162.58,0.68233,0.98272,1.17186,0.7751,0.71752,0.75747,0.62927,0.58789,0.63163,1.1505,0.005083,0.005083,0.005083
151,8198.3,0.68239,0.97722,1.17211,0.77709,0.71556,0.75743,0.62908,0.58751,0.63193,1.15,0.00505,0.00505,0.00505
152,9234.19,0.68092,0.9823,1.17002,0.77905,0.71533,0.7578,0.62988,0.58744,0.63144,1.15007,0.005017,0.005017,0.005017
153,10238.9,0.67994,0.98262,1.16936,0.78457,0.71256,0.75801,0.6301,0.58794,0.63194,1.15058,0.004984,0.004984,0.004984
154,11275.7,0.68218,0.97332,1.17052,0.78737,0.70999,0.75861,0.63079,0.58779,0.63215,1.15065,0.004951,0.004951,0.004951
155,1003.61,0.67126,0.93985,1.16442,0.78668,0.71061,0.75921,0.63126,0.58661,0.63123,1.14939,0.004918,0.004918,0.004918
156,2039.76,0.67895,0.96977,1.16906,0.78569,0.71121,0.759,0.63105,0.58641,0.63097,1.1491,0.004885,0.004885,0.004885
157,3065.32,0.68181,0.97425,1.17079,0.78428,0.70922,0.75943,0.631,0.58634,0.63091,1.14899,0.004852,0.004852,0.004852
158,4080.02,0.68221,0.97496,1.17067,0.78028,0.71326,0.75972,0.63069,0.5859,0.63117,1.14859,0.004819,0.004819,0.004819
159,5116.3,0.6802,0.96822,1.16921,0.78162,0.71159,0.75982,0.63092,0.58589,0.63109,1.14863,0.004786,0.004786,0.004786
160,6152.21,0.67899,0.97247,1.16821,0.78247,0.71203,0.76035,0.63122,0.58553,0.63109,1.14824,0.004753,0.004753,0.004753
161,7189.04,0.6796,0.97147,1.1688,0.78986,0.70846,0.76085,0.63198,0.58566,0.63084,1.14814,0.00472,0.00472,0.00472
162,8221.94,0.6761,0.96755,1.16686,0.77862,0.71441,0.76055,0.63222,0.58568,0.63006,1.14778,0.004687,0.004687,0.004687
163,9256.14,0.67768,0.97523,1.1685,0.78217,0.71136,0.75996,0.63143,0.58555,0.62921,1.1479,0.004654,0.004654,0.004654
